Action,Specific point / Chapter,Actor name,Actor Name New,Country,"Affiliation
1) civil society/NGO 2) business organisations 3) consulting 4) government 5) academia 6) personal"
Action 03,Strengthening CFC Rules,Tom O'Shea,Tom O'Shea,UK,5
Action 03,Strengthening CFC Rules,Trinity Law Partners,Trinity Law Partners,UK,3
Action 03,Strengthening CFC Rules,United States Council for International Business (USCIB),United States Council for International Business (USCIB),US,3
Action 03,Strengthening CFC Rules,Valente Associati GEB Partners,Valente Associati GEB Partners,italy,3
Action 12,Mandatory Disclosure Rules,AFME-BBA (Association for Financial Markets in Europe - British Bankers’ Association),AFME (Association for Financial Markets in Europe),europe,2
Action 12,Mandatory Disclosure Rules,,BBA (British Bankers’ Association),UK,2
Action 12,Mandatory Disclosure Rules,Banking and Finance Company Working Group on BEPS,Banking and Finance Company Working Group on BEPS,world,2
Action 12,Mandatory Disclosure Rules,BASF,BASF,Germany,2
Action 12,Mandatory Disclosure Rules,BEPS Monitoring Group (BMG),BEPS Monitoring Group (BMG),world,1
Action 12,Mandatory Disclosure Rules,BIAC,BIAC,world,2
Action 12,Mandatory Disclosure Rules,Brazilian National Confederation of Industry (CNI),Brazilian National Confederation of Industry (CNI),Brasil,2
Action 12,Mandatory Disclosure Rules,Bundessteuerberaterkammer,Bundessteuerberaterkammer,Germany,3
Action 12,Mandatory Disclosure Rules,BusinessEurope,BusinessEurope,europe,2
Action 12,Mandatory Disclosure Rules,CBI,CBI (Confederation of British Industry),UK,2
Action 12,Mandatory Disclosure Rules,Chartered Institute of Taxation (CIOT),Chartered Institute of Taxation (CIOT),UK,5
Action 12,Mandatory Disclosure Rules,Chartered Professional Accountants of Canada (CPA),Chartered Professional Accountants of Canada (CPA),canada,3
Action 12,Mandatory Disclosure Rules,Confédération Fiscale Européenne (CFE),Confédération Fiscale Européenne (CFE),europe,3
Action 12,Mandatory Disclosure Rules,Asia-Oceania Tax Consultants´ Association (AOTCA),AOTCA (Asia Oceania Tax Consultants Association),asia,3
Action 12,Mandatory Disclosure Rules,Confederation of Indian Industry (CII),Confederation of Indian Industry (CII),india,2
Action 12,Mandatory Disclosure Rules,Confederation of Swedish Enterprise,Confederation of Swedish Enterprise,Sweden,2
Action 12,Mandatory Disclosure Rules,Consejo General de la Abogacía Española,Consejo General de la Abogacía Española,Spain,3
Action 12,Mandatory Disclosure Rules,Council of Bars and Law Societies of Europe (CCBE),Council of Bars and Law Societies of Europe (CCBE),europe,3
Action 12,Mandatory Disclosure Rules,Deloitte,Deloitte,world,3
Action 12,Mandatory Disclosure Rules,DRTP Consulting Inc.,DRTP Consulting Inc.,world,3
Action 12,Mandatory Disclosure Rules,EBIT,EBIT,europe,3
Action 12,Mandatory Disclosure Rules,EY,EY,world,3
Action 12,Mandatory Disclosure Rules,Federation Bancaire Française (FBF),Federation Bancaire Française (FBF),France,2
Action 12,Mandatory Disclosure Rules,Federation of German Industries (BDI),Federation of German Industries (BDI),Germany,2
Action 12,Mandatory Disclosure Rules,Global Accounting Alliance (GAA),Global Accounting Alliance (GAA),Australia,3
Action 12,Mandatory Disclosure Rules,IFA Grupo Mexicano (Mexican Branch of the International Fiscal Association),IFA Mexico,Mexico,1
Action 12,Mandatory Disclosure Rules,International Alliance for Principled Taxation (IAPT),International Alliance for Principled Taxation (IAPT),world,2
Action 12,Mandatory Disclosure Rules,International Chamber of Commerce (ICC),International Chamber of Commerce (ICC),world,2
Action 12,Mandatory Disclosure Rules,Japan Foreign Trade Council (JFTC),Japan Foreign Trade Council (JFTC),Japan,2
Action 12,Mandatory Disclosure Rules,Keidanren,Keidanren,Japan,2
Action 12,Mandatory Disclosure Rules,KPMG,KPMG,world,3
Action 12,Mandatory Disclosure Rules,Matheson,Matheson,world,3
Action 12,Mandatory Disclosure Rules,MEDEF,MEDEF,France,2
Action 12,Mandatory Disclosure Rules,PwC,PwC,world,3
Action 12,Mandatory Disclosure Rules,Stewart Jim,"Stewart Jim, Trinity College",Ireland,5
Action 12,Mandatory Disclosure Rules,"Tax Executives Institute, Inc","Tax Executives Institute, Inc",world,3
Action 12,Mandatory Disclosure Rules,Taxand Canada,Taxand,world,3
Action 12,Mandatory Disclosure Rules,TD Bank Group,TD Bank,US,2
Action 12,Mandatory Disclosure Rules,Trinity Law Partners,Trinity Law Partners,UK,3
Action 12,Mandatory Disclosure Rules,United States Council for International Business (USCIB),United States Council for International Business (USCIB),US,3
Action 12,Mandatory Disclosure Rules,Valente Associati GEB Partners,Valente Associati GEB Partners,italy,3
Action 04,Interest deductions and other financial payments,International Banking Federation,International Banking Federation,UK,2
Action 04,Interest deductions and other financial payments,100 Group,100 Group,UK,2
Action 04,Interest deductions and other financial payments,AFME-BBA (Association for Financial Markets in Europe - British Bankers’ Association),AFME (Association for Financial Markets in Europe),europe,2
Action 04,Interest deductions and other financial payments,,BBA (British Bankers’ Association),UK,2
Action 04,Interest deductions and other financial payments,Association Française des Trésoriers d’Entreprise (AFTE),Association Française des Trésoriers d’Entreprise (AFTE),France,2
Action 04,Interest deductions and other financial payments,Association of British Insurers (ABI),Association of British Insurers (ABI),UK,2
Action 04,Interest deductions and other financial payments,Association of Investment Companies (AIC),Association of Investment Companies (AIC),UK,2
Action 04,Interest deductions and other financial payments,Association of Real Estate Funds (AREF),Association of Real Estate Funds (AREF),UK,2
Action 04,Interest deductions and other financial payments,AstraZeneca,AstraZeneca,Sweden,2
Action 04,Interest deductions and other financial payments,,AstraZeneca,UK,2
Action 04,Interest deductions and other financial payments,Australian Bankers' Association (ABA),Australian Bankers' Association (ABA),Australia,2
Action 04,Interest deductions and other financial payments,Balfour Beatty,Balfour Beatty,UK,2
Action 04,Interest deductions and other financial payments,Banking and Finance Company Working Group on BEPS,Banking and Finance Company Working Group on BEPS,world,2
Action 04,Interest deductions and other financial payments,BASF,BASF,Germany,2
Action 04,Interest deductions and other financial payments,BDI,BDI,Germany,2
Action 04,Interest deductions and other financial payments,BDO,BDO,world,3
Action 04,Interest deductions and other financial payments,BEPS Monitoring Group (BMG),BEPS Monitoring Group (BMG),world,1
Action 04,Interest deductions and other financial payments,BIAC,BIAC,world,2
Action 04,Interest deductions and other financial payments,bMoxie,bMoxie,belgium,3
Action 04,Interest deductions and other financial payments,British Private Equity and Venture Capital Association (BVCA),British Private Equity and Venture Capital Association (BVCA),UK,2
Action 04,Interest deductions and other financial payments,British Property Federation,British Property Federation,UK,2
Action 04,Interest deductions and other financial payments,"Burnett Chloe, Richard Vann - University of Sydney","Burnett Chloe, Richard Vann - University of Sydney",Australia,5
Action 04,Interest deductions and other financial payments,BusinessEurope,BusinessEurope,europe,2
Action 04,Interest deductions and other financial payments,Canadian Bankers Association,Canadian Bankers Association,canada,2
Action 04,Interest deductions and other financial payments,Canadian Life and Health Insurance Association (CLHIA),Canadian Life and Health Insurance Association (CLHIA),canada,2
Action 04,Interest deductions and other financial payments,CBI,CBI (Confederation of British Industry),UK,2
Action 04,Interest deductions and other financial payments,Chartered Institute of Taxation (CIOT),Chartered Institute of Taxation (CIOT),UK,5
Action 04,Interest deductions and other financial payments,Confédération Fiscale Européenne (CFE),Confédération Fiscale Européenne (CFE),europe,3
Action 04,Interest deductions and other financial payments,Confederation of Indian Industry (CII),Confederation of Indian Industry (CII),india,2
Action 04,Interest deductions and other financial payments,Confederation of Swedish Enterprise,Confederation of Swedish Enterprise,Sweden,2
Action 04,Interest deductions and other financial payments,CUFTanalytics,CUFTanalytics,canada,3
Action 04,Interest deductions and other financial payments,Deloitte UK,Deloitte,world,3
Action 04,Interest deductions and other financial payments,Deloitte US,Deloitte,world,3
Action 04,Interest deductions and other financial payments,Duff & Phelps,Duff & Phelps,world,3
Action 04,Interest deductions and other financial payments,EDF Energy,EDF Energy,France,2
Action 04,Interest deductions and other financial payments,Ernst & Young,Ernst & Young,world,3
Action 04,Interest deductions and other financial payments,European Banking Association (EBF),European Banking Association (EBF),europe,2
Action 04,Interest deductions and other financial payments,European Business Initiative on Taxation (EBIT),European Business Initiative on Taxation (EBIT),europe,3
Action 04,Interest deductions and other financial payments,FCC Group,FCC Group,Spain,2
Action 04,Interest deductions and other financial payments,Federation Bancaire Française (FBF),Federation Bancaire Française (FBF),France,2
Action 04,Interest deductions and other financial payments,Fédération Française des Sociétés d'Assurances (FFSA),Fédération Française des Sociétés d'Assurances (FFSA),France,2
Action 04,Interest deductions and other financial payments,Freshfields,Freshfields,UK,3
Action 04,Interest deductions and other financial payments,Garrigues,Garrigues,Spain,3
Action 04,Interest deductions and other financial payments,Gazprom,Gazprom,Russia,2
Action 04,Interest deductions and other financial payments,Grant Thornton International Ltd,Grant Thornton,world,3
Action 04,Interest deductions and other financial payments,Ibed,Ibed,Ireland,2
Action 04,Interest deductions and other financial payments,ICI Global,ICI Global,US,3
Action 04,Interest deductions and other financial payments,IFA Grupo Mexicano (Mexican Branch of the International Fiscal Association),IFA Mexico,Mexico,1
Action 04,Interest deductions and other financial payments,Institut der Wirtschaftsprüfer (IDW),Institut der Wirtschaftsprüfer (IDW),Germany,5
Action 04,Interest deductions and other financial payments,Institute for Austrian and International Tax Law,Institute for Austrian and International Tax Law,Australia,5
Action 04,Interest deductions and other financial payments,Institute of Chartered Accountants in England and Wales (ICAEW),Institute of Chartered Accountants in England and Wales (ICAEW),UK,3
Action 04,Interest deductions and other financial payments,Insurance Company Working Group on BEPS,Insurance Company Working Group on BEPS,world,2
Action 04,Interest deductions and other financial payments,Insurance Europe,Insurance Europe,europe,2
Action 04,Interest deductions and other financial payments,InterContinental Hotels Group (IHG),InterContinental Hotels Group (IHG),UK,2
Action 04,Interest deductions and other financial payments,International Alliance for Principled Taxation (IAPT),International Alliance for Principled Taxation (IAPT),world,2
Action 04,Interest deductions and other financial payments,International Bar Association (IBA),International Bar Association (IBA),UK,3
Action 04,Interest deductions and other financial payments,International Chamber of Commerce (ICC),International Chamber of Commerce (ICC),world,2
Action 04,Interest deductions and other financial payments,International Underwriting Association of London (IUA),International Underwriting Association of London (IUA),UK,2
Action 04,Interest deductions and other financial payments,Investment Property Forum (IPF),Investment Property Forum (IPF),UK,2
Action 04,Interest deductions and other financial payments,Irish Debt Securities Association (IDSA),Irish Debt Securities Association (IDSA),Ireland,2
Action 04,Interest deductions and other financial payments,Irish Tax Institute,Irish Tax Institute,Ireland,3
Action 04,Interest deductions and other financial payments,Japan Foreign Trade Council (JFTC),Japan Foreign Trade Council (JFTC),Japan,2
Action 04,Interest deductions and other financial payments,Keidanren,Keidanren,Japan,2
Action 04,Interest deductions and other financial payments,Kemmeren Eric - Tilburg University,Kemmeren Eric - Tilburg University,Netherlands,5
Action 04,Interest deductions and other financial payments,King & Wood Mallesons (KWM),King & Wood Mallesons (KWM),Japan,2
Action 04,Interest deductions and other financial payments,KPMG UK,KPMG,world,3
Action 04,Interest deductions and other financial payments,KPMG_US,KPMG,world,3
Action 04,Interest deductions and other financial payments,Liberty Global,Liberty Global,UK,2
Action 04,Interest deductions and other financial payments,Ludovici & Partners,Ludovici & Partners,italy,3
Action 04,Interest deductions and other financial payments,MacFarlanes,MacFarlanes,UK,3
Action 04,Interest deductions and other financial payments,Matheson,Matheson,world,3
Action 04,Interest deductions and other financial payments,MEDEF,MEDEF,France,2
Action 04,Interest deductions and other financial payments,Müller Johann,Müller Johann,Germany,5
Action 04,Interest deductions and other financial payments,National Grid Plc,National Grid,UK,2
Action 04,Interest deductions and other financial payments,Organization for International Investment (OFII),Organization for International Investment (OFII),US,2
Action 04,Interest deductions and other financial payments,PEGCC-PAE,PEGCC,US,3
Action 04,Interest deductions and other financial payments,,PAE,europe,3
Action 04,Interest deductions and other financial payments,Petrofac,Petrofac,UK,2
Action 04,Interest deductions and other financial payments,Pinsent Masons,Pinsent Masons,UK,2
Action 04,Interest deductions and other financial payments,PPP Forum,PPP Forum,UK,2
Action 04,Interest deductions and other financial payments,Prudential,Prudential,UK,2
Action 04,Interest deductions and other financial payments,PwC Ireland,PwC,world,3
Action 04,Interest deductions and other financial payments,PwC,PwC,world,3
Action 04,Interest deductions and other financial payments,RBS RoeverBroennerSusat,RBS RoeverBroennerSusat,Germany,3
Action 04,Interest deductions and other financial payments,Reed Elsevier Group,Reed Elsevier,world,3
Action 04,Interest deductions and other financial payments,Repsol,Repsol,Spain,2
Action 04,Interest deductions and other financial payments,RioTinto,Rio Tinto,US,2
Action 04,Interest deductions and other financial payments,,Rio Tinto,Australia,2
Action 04,Interest deductions and other financial payments,"Stewart Jim, Trinity College","Stewart Jim, Trinity College",Ireland,5
Action 04,Interest deductions and other financial payments,Swiss Bankers Association,Swiss Bankers Association,switzerland,2
Action 04,Interest deductions and other financial payments,Swiss Insurance Association (SIA),Swiss Insurance Association,switzerland,2
Action 04,Interest deductions and other financial payments,SwissHoldings,SwissHoldings,switzerland,2
Action 04,Interest deductions and other financial payments,"Tax Executives Institute, Inc","Tax Executives Institute, Inc",world,3
Action 04,Interest deductions and other financial payments,Tax and Mexico,Tax and Mexico,Mexico,3
Action 04,Interest deductions and other financial payments,TD Bank Group,TD Bank,US,2
Action 04,Interest deductions and other financial payments,The British Land Company,The British Land Company,UK,2
Action 04,Interest deductions and other financial payments,The Family Entrepreneurs (ASU),The Family Entrepreneurs (ASU),Germany,2
Action 04,Interest deductions and other financial payments,The Infrastructure Forum,The Infrastructure Forum,UK,2
Action 04,Interest deductions and other financial payments,The Investment Association,The Investment Association,UK,2
Action 04,Interest deductions and other financial payments,Trade Union Advisory Committee to the OECD (TUAC),Trade Union Advisory Committee to the OECD (TUAC),world,3
Action 04,Interest deductions and other financial payments,Transfer Pricing Associates (TPA),Transfer Pricing Associates (TPA),US,3
Action 04,Interest deductions and other financial payments,Transfer Pricing Centre Association (TPCA),Transfer Pricing Centre Association (TPCA),Poland,1
Action 04,Interest deductions and other financial payments,UKOITC,UKOITC,UK,1
Action 04,Interest deductions and other financial payments,United States Council for International Business (USCIB),United States Council for International Business (USCIB),US,3
Action 04,Interest deductions and other financial payments,"Van de Streek Jan, Marress Otto - University of Amsterdam (ACTL)","Van de Streek Jan, Marress Otto - University of Amsterdam (ACTL)",Netherlands,5
Action 04,Interest deductions and other financial payments,VNO-NCW (Confederation of Netherlands Industry and Employers),VNO-NCW (Confederation of Netherlands Industry and Employers),Netherlands,2
Action 04,Interest deductions and other financial payments,WaterUK,WaterUK,UK,2
Action 11,Improving the analysis of BEPS (2015),Federation of German Industries (BDI),Federation of German Industries (BDI),Germany,2
Action 11,Improving the analysis of BEPS (2015),BIAC,BIAC,world,2
Action 11,Improving the analysis of BEPS (2015),BEPS Monitoring Group (BMG),BEPS Monitoring Group (BMG),world,1
Action 11,Improving the analysis of BEPS (2015),BusinessEurope,BusinessEurope,europe,2
Action 11,Improving the analysis of BEPS (2015),CBI,CBI (Confederation of British Industry),UK,2
Action 11,Improving the analysis of BEPS (2015),DRTP Consulting Inc.,DRTP Consulting Inc.,world,3
Action 11,Improving the analysis of BEPS (2015),DURST Michael,DURST Michael,US,5
Action 11,Improving the analysis of BEPS (2015),Ernst & Young LLP,Ernst & Young,world,3
Action 11,Improving the analysis of BEPS (2015),ESRI: The Economic and Social Research Institute,ESRI: The Economic and Social Research Institute,Ireland,5
Action 11,Improving the analysis of BEPS (2015),Institute for Austrian and International Tax Law,Institute for Austrian and International Tax Law,Australia,5
Action 11,Improving the analysis of BEPS (2015),International Alliance for Principled Taxation (IAPT),International Alliance for Principled Taxation (IAPT),world,2
Action 11,Improving the analysis of BEPS (2015),International Chamber of Commerce (ICC),International Chamber of Commerce (ICC),world,2
Action 11,Improving the analysis of BEPS (2015),Oxford University Center for Business Taxation,Oxford University Center for Business Taxation,UK,5
Action 11,Improving the analysis of BEPS (2015),Pricewaterhouse Coopers LLP,PwC,world,3
Action 11,Improving the analysis of BEPS (2015),RBS RoeverBroennerSusat,RBS RoeverBroennerSusat,Germany,3
Action 11,Improving the analysis of BEPS (2015),SAF: School of Accounting and Financing,SAF: School of Accounting and Financing,canada,5
Action 11,Improving the analysis of BEPS (2015),Stewart Jim,"Stewart Jim, Trinity College",Ireland,5
Action 11,Improving the analysis of BEPS (2015),TD Bank Group,TD Bank,US,2
Action 11,Improving the analysis of BEPS (2015),The Consultative Committee of Accountancy Bodies-Ireland,The Consultative Committee of Accountancy Bodies,UK,3
Action 11,Improving the analysis of BEPS (2015),UNCTAD,UNCTAD,world,1
Action 01,Tax Challenges of the Digital Economy (April 2014),A3F,A3F (French Women Tax Experts Association),France,3
Action 01,Tax Challenges of the Digital Economy (April 2014),AFME-BBA (Association for Financial Markets in Europe - British Bankers’ Association),AFME (Association for Financial Markets in Europe),europe,2
Action 01,Tax Challenges of the Digital Economy (April 2014),,BBA (British Bankers’ Association),UK,2
Action 01,Tax Challenges of the Digital Economy (April 2014),AmCham EU,American Chamber of Commerce,US,2
Action 01,Tax Challenges of the Digital Economy (April 2014),Association of British Insurers (ABI),Association of British Insurers (ABI),UK,2
Action 01,Tax Challenges of the Digital Economy (April 2014),Austrian Federal Economic Chamber,Austrian Federal Economic Chamber,Austria,2
Action 01,Tax Challenges of the Digital Economy (April 2014),Banana Fric,Banana Fric,Netherlands,3
Action 01,Tax Challenges of the Digital Economy (April 2014),Banking and Finance Company Working Group on BEPS,Banking and Finance Company Working Group on BEPS,world,2
Action 01,Tax Challenges of the Digital Economy (April 2014),BEPS Monitoring Group (BMG),BEPS Monitoring Group (BMG),world,1
Action 01,Tax Challenges of the Digital Economy (April 2014),BIAC,BIAC,world,2
Action 01,Tax Challenges of the Digital Economy (April 2014),BOKU,BOKU,US,2
Action 01,Tax Challenges of the Digital Economy (April 2014),British Sky Broadcasting Group PLC (BSKYB),British Sky Broadcasting Group PLC (BSKYB),UK,2
Action 01,Tax Challenges of the Digital Economy (April 2014),BusinessEurope,BusinessEurope,europe,2
Action 01,Tax Challenges of the Digital Economy (April 2014),Christina Trenta,Christina Trenta,Sweden,5
Action 01,Tax Challenges of the Digital Economy (April 2014),CBI,CBI (Confederation of British Industry),UK,2
Action 01,Tax Challenges of the Digital Economy (April 2014),Chartered Institute of Taxation (CIOT),Chartered Institute of Taxation (CIOT),UK,5
Action 01,Tax Challenges of the Digital Economy (April 2014),Confédération Fiscale Européenne (CFE),Confédération Fiscale Européenne (CFE),europe,3
Action 01,Tax Challenges of the Digital Economy (April 2014),Confederation of Indian Industry (CII),Confederation of Indian Industry (CII),india,2
Action 01,Tax Challenges of the Digital Economy (April 2014),Confederation of Swedish Enterprise,Confederation of Swedish Enterprise,Sweden,2
Action 01,Tax Challenges of the Digital Economy (April 2014),The Consultative Committee of Accountancy Bodies-Ireland,The Consultative Committee of Accountancy Bodies,UK,3
Action 01,Tax Challenges of the Digital Economy (April 2014),Crowe Horwath,Crowe Horwath,US,3
Action 01,Tax Challenges of the Digital Economy (April 2014),Deloitte LLP,Deloitte,world,3
Action 01,Tax Challenges of the Digital Economy (April 2014),Digital Economy Group,Digital Economy Group,Australia,2
Action 01,Tax Challenges of the Digital Economy (April 2014),Djelloul Omari,Djelloul Omari,canada,5
Action 01,Tax Challenges of the Digital Economy (April 2014),ETNO-GSMA,ETNO-GSMA,belgium,2
Action 01,Tax Challenges of the Digital Economy (April 2014),European Business Initiative on Taxation (EBIT),European Business Initiative on Taxation (EBIT),europe,3
Action 01,Tax Challenges of the Digital Economy (April 2014),European Tax Circle,European Tax Circle,europe,3
Action 01,Tax Challenges of the Digital Economy (April 2014),Fédération Française des Télécoms,Fédération Française des Télécoms,France,2
Action 01,Tax Challenges of the Digital Economy (April 2014),Federation of German Industries (BDI),Federation of German Industries (BDI),Germany,2
Action 01,Tax Challenges of the Digital Economy (April 2014),Finfacts,Finfacts,Ireland,3
Action 01,Tax Challenges of the Digital Economy (April 2014),Harris Consulting & Tax Ltd,Harris Consulting & Tax Ltd,Israel,3
Action 01,Tax Challenges of the Digital Economy (April 2014),Ibec,Ibec,Ireland,2
Action 01,Tax Challenges of the Digital Economy (April 2014),ICAEW,ICAEW,UK,3
Action 01,Tax Challenges of the Digital Economy (April 2014),,ICAEW,Ireland,3
Action 01,Tax Challenges of the Digital Economy (April 2014),Informa PLC,Informa PLC,UK,3
Action 01,Tax Challenges of the Digital Economy (April 2014),Insurance Company Working Group on BEPS,Insurance Company Working Group on BEPS,world,2
Action 01,Tax Challenges of the Digital Economy (April 2014),Working Group on BEPS,Working Group on BEPS,world,2
Action 01,Tax Challenges of the Digital Economy (April 2014),InterContinental Hotels Group (IHG),InterContinental Hotels Group (IHG),UK,2
Action 01,Tax Challenges of the Digital Economy (April 2014),International Alliance for Principled Taxation (IAPT),International Alliance for Principled Taxation (IAPT),world,2
Action 01,Tax Challenges of the Digital Economy (April 2014),International Bar Association (IBA),International Bar Association (IBA),UK,3
Action 01,Tax Challenges of the Digital Economy (April 2014),International Underwriting Association of London (IUA),International Underwriting Association of London (IUA),UK,2
Action 01,Tax Challenges of the Digital Economy (April 2014),Irish Tax Institute,Irish Tax Institute,Ireland,3
Action 01,Tax Challenges of the Digital Economy (April 2014),Japan Association of New Economy (JANE),Japan Association of New Economy (JANE),Japan,2
Action 01,Tax Challenges of the Digital Economy (April 2014),Japan Machinery,JMC (Japan Machinery Center for Trade and Investment),Japan,2
Action 01,Tax Challenges of the Digital Economy (April 2014),Center for Trade and Investment (JMC),Center for Trade and Investment (JMC),Japan,2
Action 01,Tax Challenges of the Digital Economy (April 2014),Keidanren,Keidanren,Japan,2
Action 01,Tax Challenges of the Digital Economy (April 2014),King & Wood Mallesons (KWM),King & Wood Mallesons (KWM),Japan,2
Action 01,Tax Challenges of the Digital Economy (April 2014),KPMG,KPMG,world,3
Action 01,Tax Challenges of the Digital Economy (April 2014),Liberty Global,Liberty Global,UK,2
Action 01,Tax Challenges of the Digital Economy (April 2014),Macfarlanes LLP,MacFarlanes,UK,3
Action 01,Tax Challenges of the Digital Economy (April 2014),Meridian Global Services,Meridian Global Services,Ireland,3
Action 01,Tax Challenges of the Digital Economy (April 2014),Patrick Breslin,NERA,world,3
Action 01,Tax Challenges of the Digital Economy (April 2014),PwC,PwC,world,3
Action 01,Tax Challenges of the Digital Economy (April 2014),Reed Elsevier Group,Reed Elsevier,world,3
Action 01,Tax Challenges of the Digital Economy (April 2014),Revenue Department of Thailand,Revenue Department of Thailand,thailand,4
Action 01,Tax Challenges of the Digital Economy (April 2014),SAP,SAP,Germany,2
Action 01,Tax Challenges of the Digital Economy (April 2014),Swiss Bankers Association,Swiss Bankers Association,switzerland,2
Action 01,Tax Challenges of the Digital Economy (April 2014),Thomas Kipka,Thomas Kipka,Netherlands,5
Action 01,Tax Challenges of the Digital Economy (April 2014),TAJ,"TAJ, Societe d'Avocats",France,3
Action 01,Tax Challenges of the Digital Economy (April 2014),"Tax Executives Institute, Inc","Tax Executives Institute, Inc",world,3
Action 01,Tax Challenges of the Digital Economy (April 2014),TechAmerica Europe (TAE),TechAmerica Europe (TAE),US,2
Action 01,Tax Challenges of the Digital Economy (April 2014),The Dutch Association of Tax Advisors (NOB),The Dutch Association of Tax Advisors (NOB),Netherlands,3
Action 01,Tax Challenges of the Digital Economy (April 2014),United States Council for International Business (USCIB),United States Council for International Business (USCIB),US,3
Action 01,Tax Challenges of the Digital Economy (April 2014),VNO-NCW (Confederation of Netherlands Industry and Employers),VNO-NCW (Confederation of Netherlands Industry and Employers),Netherlands,2
Action 01,Tax Challenges of the Digital Economy (April 2014),AFDEL,AFDEL,France,2
Action 01,Tax Challenges of the Digital Economy (April 2014),CPA Canada,CPA Canada,canada,3
Action 01,Tax Challenges of the Digital Economy (April 2014),MEDEF,MEDEF,France,2
Action 01,International VAT/GST Guidelines,AFME-BBA (Association for Financial Markets in Europe - British Bankers’ Association),AFME (Association for Financial Markets in Europe),europe,2
Action 01,International VAT/GST Guidelines,,BBA (British Bankers’ Association),UK,2
Action 01,International VAT/GST Guidelines,BASF,BASF,Germany,2
Action 01,International VAT/GST Guidelines,BDI,BDI,Germany,2
Action 01,International VAT/GST Guidelines,BIAC,BIAC,world,2
Action 01,International VAT/GST Guidelines,Booksellers New Zealand Inc,Booksellers New Zealand Inc,New Zealand,2
Action 01,International VAT/GST Guidelines,BusinessEurope,BusinessEurope,europe,2
Action 01,International VAT/GST Guidelines,CBI Indirect Tax Working Group,CBI Indirect Tax Working Group,UK,3
Action 01,International VAT/GST Guidelines,Charlie Livingston,Charlie Livingston,UK,5
Action 01,International VAT/GST Guidelines,Chartered Institute of Taxation (CIOT),Chartered Institute of Taxation (CIOT),UK,5
Action 01,International VAT/GST Guidelines,Chartered Professional Accountants of Canada (CPA),Chartered Professional Accountants of Canada (CPA),canada,3
Action 01,International VAT/GST Guidelines,Claire Valentine,Claire Valentine,UK,6
Action 01,International VAT/GST Guidelines,Confédération Fiscale Européenne (CFE),Confédération Fiscale Européenne (CFE),europe,3
Action 01,International VAT/GST Guidelines,Confederation of Netherlands Industry and Employer (VNO-NCW) and the Royal Association MKB Netherlands,Confederation of Netherlands Industry and Employer (VNO-NCW) and the Royal Association MKB Netherlands,Netherlands,2
Action 01,International VAT/GST Guidelines,Confederation of Swedish Enterprise,Confederation of Swedish Enterprise,Sweden,2
Action 01,International VAT/GST Guidelines,David Hooghorst,David Hooghorst,UK,6
Action 01,International VAT/GST Guidelines,Deloitte,Deloitte,world,3
Action 01,International VAT/GST Guidelines,Efama,Efama,europe,2
Action 01,International VAT/GST Guidelines,Elisabeth Felgate,Elisabeth Felgate,UK,6
Action 01,International VAT/GST Guidelines,ETNO-GSMA,ETNO-GSMA,belgium,2
Action 01,International VAT/GST Guidelines,European Banking Federation (EBF),European Banking Federation (EBF),europe,2
Action 01,International VAT/GST Guidelines,Federation of European Accountants (FEE),Federation of European Accountants (FEE),europe,2
Action 01,International VAT/GST Guidelines,FIDAL,FIDAL,world,3
Action 01,International VAT/GST Guidelines,IFA Grupo Mexicano (Mexican Branch of the International Fiscal Association),IFA Mexico,Mexico,1
Action 01,International VAT/GST Guidelines,Institut der Wirtschaftsprüfer (IDW),Institut der Wirtschaftsprüfer (IDW),Germany,5
Action 01,International VAT/GST Guidelines,Institute of Chartered Accountants in England and Wales (ICAEW),Institute of Chartered Accountants in England and Wales (ICAEW),UK,3
Action 01,International VAT/GST Guidelines,International Alliance for Principled Taxation (IAPT),International Alliance for Principled Taxation (IAPT),world,2
Action 01,International VAT/GST Guidelines,International Chamber of Commerce (ICC),International Chamber of Commerce (ICC),world,2
Action 01,International VAT/GST Guidelines,International Vet Association (IVA),International Vet Association (IVA),belgium,2
Action 01,International VAT/GST Guidelines,John Esplen,John Esplen,UK,5
Action 01,International VAT/GST Guidelines,Karen Butler,Karen Butler,UK,5
Action 01,International VAT/GST Guidelines,KPMG,KPMG,world,3
Action 01,International VAT/GST Guidelines,Louise Birkett,Louise Birkett,UK,5
Action 01,International VAT/GST Guidelines,Marsha White,Marsha White,US,5
Action 01,International VAT/GST Guidelines,Meridian Global Services,Meridian Global Services,Ireland,3
Action 01,International VAT/GST Guidelines,National Foreign Trade Council (NFTC),National Foreign Trade Council (NFTC),US,2
Action 01,International VAT/GST Guidelines,PwC (Africa),PwC,world,3
Action 01,International VAT/GST Guidelines,PwC,PwC,world,3
Action 01,International VAT/GST Guidelines,Retail NZ,Retail NZ,New Zealand,3
Action 01,International VAT/GST Guidelines,Richter,Richter,canada,3
Action 01,International VAT/GST Guidelines,Software Finance & Tax Executives Council (SOFTEC),Software Finance & Tax Executives Council (SOFTEC),US,2
Action 01,International VAT/GST Guidelines,SwissBanking,SwissBanking,switzerland,2
Action 01,International VAT/GST Guidelines,"TAJ, Societe d'Avocats","TAJ, Societe d'Avocats",France,3
Action 01,International VAT/GST Guidelines,Taxand,Taxand,world,3
Action 01,International VAT/GST Guidelines,"Tax Executives Institute, Inc","Tax Executives Institute, Inc",world,3
